address,microstx
112XwWYtXmVGhwKPZAijeDDxeiQzAhvyDi,394445
113E1TwrMfBNBitk4oa4uDP4u7ePZynY3Y,2403337500
113PZUYPYD9g93Qd6w9Lbj7LTx2ptNsfFu,17997416671
113bkUpVynUBcEBQBFnMmkLoBze1Ce9KMD,694079167
113d26svHvofEnsKjCjfjUQ4LzLwoAabhL,67708333337
113k11qWVCrXtbFqAB169dNyafbFKv9ypi,2011805556
113rSEsep4ojSsSqroZMwVEDEtTULpJZYL,13888889
113x8eyAizojHAXhgtvsipH1fp3vGsCvL7,121736112
114G4z3ndRZUEeae2LH6hG5TK3HeBss5Gy,1143169445
114QUcXCQ4god4QBkdnr7KGwFps49q1k8M,138888889
114edQT1Jfw4qhwrM8thJiXpyALcciLK7Y,27552778
114nSULaKd6AgWUq7JvCA32iP1UzC4cXBF,13888889
115Ght1Z28b5YARNwx5SPEmg1L11p9q2Ly,49600000
115KQPbbqyfqZZJZcxTacXE5zivSVAFbJ7,1041666667
115LCKRC6Yuut1wHALNWNhPnjTeCSdBvZ5,278
11EVSJ3UHXSqedGLv5g3Sbby6Y76iXJob,0
11EYWXrT4KDME2PtpRpqRFeJYYzq4p4Am,1041576389
11ZasUnsbBsSWK1W49HbhDxsAq7RnNBsA,0
121P5DvLZzVryeyXUmeMHbY3LA5ghucpFY,1041666667
121co6kM2chVCRzs4DcPr11S1c7sf6y179,45138708337
121d6Z4iPPeJeFemxaQ89mSnmjmbc9rchQ,32076389
121m6omvLazmYUga34m7aq5NEg9LNWNdkU,83572223
1226iEcR7QkmZCsuRi84Eo7pTsXRL31Pfh,1041666667
122CXwyDCJG4kCAcEwpEbeUuh2uKMGPLpN,18126389
122HCgUBZEsgUrZEmAoqrqpVMXvf2fHBYq,27865278
122PBGCS3TfqscNLvDGww9xdpF6gdUbohN,138888889
122fTBYCW4eAA1Tyv2uFKKLjCQNaVuBp1E,138888889
122vBxnhwk5aLaXsrQrziX5FazcFWcRnqK,44880875000
